First Name	Last Name	Gender	BIPOC	LGBT	Disabled/Neurodiverse	Birth Country	Current Country	Country Details													
Clayton	Thomas-Muller	M	1	0	0	Canada	Canada	Cree													
Robert M.	Sapolsky	M	0	0	0	US	US														
Dina	Gilio-Whitaker	F	1	0	0	US	US	Colville Confederated Tribes													
Monica	Gagliano	F	0	0	0	Australia	Australia														
Katherena	Vermette	F	1	0	0	Canada	Canada	Métis													
H. Craig	Heller	M	0	0	0	US	US														
Yrsa	Sigurðardóttir	F	0	0	0	Iceland	Iceland														
Bernd	Brunner	M	0	0	0	Canada	Canada														
Emma	Marris	F	0	0	0	US	US														
Linda Kay	Klein	F	0	0	0	US	US														
Stephen	Nowicki	M	0	0	0	US	US														
Thich Nhat	Hanh	M	1	0	0	Vietnam	France														
Gayle Tzemach	Lemmon	F	0	0	0	US	US														
Gord	Hill	M	1	0	0	Canada	Canada	Kwakwaka'wakw													
Mary Siisip	Geniusz	F	1	0	0	Canada	Canada	Anishinaabe													
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
